"Country","Year","dRGDP","debtgdp","lag.dRGDP","lag.debtgdp"
"Germany",1976,4.82898679836983,10.7298562015137,-0.544631318820332,9.94539109161556
"Germany",1977,2.87756310339411,11.8767476374934,4.82898679836983,10.7298562015137
"Germany",1978,2.8084290062738,13.2706983863361,2.87756310339411,11.8767476374934
"Germany",1979,4.01854905350703,13.9685677390097,2.8084290062738,13.2706983863361
"Germany",1980,1.1425799572585,14.9140255884604,4.01854905350703,13.9685677390097
"Germany",1981,0.110299330592034,16.6507727472261,1.1425799572585,14.9140255884604
"Germany",1982,-0.78816639681305,18.3327817223677,0.110299330592034,16.6507727472261
"Germany",1983,1.55466809928657,19.4485322481045,-0.78816639681305,18.3327817223677
"Germany",1984,2.82608727820501,19.8407853936151,1.55466809928657,19.4485322481045
"Germany",1985,2.19228469480488,20.3776736681143,2.82608727820501,19.8407853936151
"Germany",1986,2.41731919217096,20.3831727941531,2.19228469480488,20.3776736681143
"Germany",1987,1.46935582225283,21.1429908356589,2.41731919217096,20.3831727941531
"Germany",1988,3.73561271474219,21.6240219113926,1.46935582225283,21.1429908356589
"Germany",1989,3.91302416837132,20.8884834827732,3.73561271474219,21.6240219113926
"Germany",1990,5.72342998509119,21.2141017144239,3.91302416837132,20.8884834827732
"Germany",1991,5.0114026576872,19.5229811096912,5.72342998509119,21.2141017144239
"Germany",1992,2.3058166544853,18.8385837028882,5.0114026576872,19.5229811096912
"Germany",1993,-0.788782837360436,20.6802503962829,2.3058166544853,18.8385837028882
"Germany",1994,2.62606577072946,20.4573449196517,-0.788782837360436,20.6802503962829
"Germany",1995,1.83943279988479,20.8661536597189,2.62606577072946,20.4573449196517
"Germany",1996,0.95156314125775,22.7057056986631,1.83943279988479,20.8661536597189
"Germany",1997,1.71199980545458,23.9979461057394,0.95156314125775,22.7057056986631
"Germany",1998,1.97736662624683,24.8297988521713,1.71199980545458,23.9979461057394
"Germany",1999,1.93168560720931,35.2037773359841,1.97736662624683,24.8297988521713
"Germany",2000,3.22428380777804,34.6957525291027,1.93168560720931,35.2037773359841
"Germany",2001,1.15079441968611,32.9979886512095,3.22428380777804,34.6957525291027
"Germany",2002,0.00627347464772221,33.566908123817,1.15079441968611,32.9979886512095
"Germany",2003,-0.231146278674221,35.4798912559978,0.00627347464772221,33.566908123817
"Germany",2004,1.17621592148835,36.7327262586595,-0.231146278674221,35.4798912559978
"Germany",2005,0.732079771647265,39.5084506690015,1.17621592148835,36.7327262586595
"Germany",2006,3.17589864175314,39.5826354190004,0.732079771647265,39.5084506690015
"Germany",2007,2.51648229260428,38.7113087884029,3.17589864175314,39.5826354190004
"Germany",2008,1.24810326772242,38.7129177017389,2.51648229260428,38.7113087884029
"Germany",2009,-5.29683377308706,43.7187693666007,1.24810326772242,38.7129177017389
"Greece",1971,7.117874343057,19.0047897817988,7.95492735000494,18.8221009686825
"Greece",1972,12.4435858862144,20.1204135162908,7.117874343057,19.0047897817988
"Greece",1973,3.92246294184722,16.5557215479879,12.4435858862144,20.1204135162908
"Greece",1974,-3.63835856923415,17.4779943666804,3.92246294184722,16.5557215479879
"Greece",1975,6.04997874536952,18.1763215075376,-3.63835856923415,17.4779943666804
"Greece",1976,6.36049990694745,20.804360217315,6.04997874536952,18.1763215075376
"Greece",1977,3.42817917519114,23.2328527741372,6.36049990694745,20.804360217315
"Greece",1978,6.69677133896387,23.6519871106337,3.42817917519114,23.2328527741372
"Greece",1979,3.69073900157337,23.133294864397,6.69677133896387,23.6519871106337
"Greece",1980,0.677,24.5926851540347,3.69073900157337,23.133294864397
"Greece",1981,-1.554,28.7738879074996,0.677,24.5926851540347
"Greece",1982,-1.133,29.6342415296343,-1.554,28.7738879074996
"Greece",1983,-1.079,33.9595881339597,-1.133,29.6342415296343
"Greece",1984,2.011,40.5032480405034,-1.079,33.9595881339597
"Greece",1985,2.51,47.1326280471326,2.011,40.5032480405034
"Greece",1986,0.518,47.6600399476601,2.51,47.1326280471326
"Greece",1987,-2.259,52.9877776529878,0.518,47.6600399476601
"Greece",1988,4.288,62.6631447626631,-2.259,52.9877776529878
"Greece",1989,3.8,65.8402954658403,4.288,62.6631447626631
"Greece",1990,0,89.0668403890665,3.8,65.8402954658403
"Greece",1991,3.1,91.1247685911246,0,89.0668403890665
"Greece",1992,0.7,97.6096436976097,3.1,91.1247685911246
"Greece",1993,-1.6,97.608,0.7,97.6096436976097
"Greece",1994,2,103.197,-1.6,97.608
"Greece",1995,2.1,104.806,2,103.197
"Greece",1996,2.358,108.105,2.1,104.806
"Greece",1997,3.638,105.22,2.358,108.105
"Greece",1998,3.364,103.746,3.638,105.22
"Greece",1999,3.42,103.561,3.364,103.746
"Greece",2000,4.477,108.926,3.42,103.561
"Greece",2001,4.197,109.684,4.477,108.926
"Greece",2002,3.439,109.199,4.197,109.684
"Greece",2003,5.582,106.407,3.439,109.199
"Greece",2004,4.916,108.282,5.582,106.407
"Greece",2005,2.898,108.991,4.916,108.282
"Greece",2006,4.497,106.103,2.898,108.991
"Greece",2007,4.036,105.03,4.497,106.103
"Greece",2008,2.933,107.872,4.036,105.03
"Greece",2009,-0.753,100,2.933,107.872
"Ireland",1948,4.86080904741193,21.0170885096575,1.89473684210526,20.5905307280461
"Ireland",1949,5.23695945245255,27.5432299601484,4.86080904741193,21.0170885096575
"Ireland",1950,0.817895151754033,37.6844792872976,5.23695945245255,27.5432299601484
"Ireland",1951,2.51197341413352,45.6064146326273,0.817895151754033,37.6844792872976
"Ireland",1952,2.52669717772693,47.4288654525344,2.51197341413352,45.6064146326273
"Ireland",1953,2.6969217892681,49.2227567919465,2.52669717772693,47.4288654525344
"Ireland",1954,0.896495517522422,55.9834263754685,2.6969217892681,49.2227567919465
"Ireland",1955,2.60276431520374,63.8198680452563,0.896495517522422,55.9834263754685
"Ireland",1956,-1.30335899230231,67.314450614523,2.60276431520374,63.8198680452563
"Ireland",1957,-0.150669148276172,70.1491638047529,-1.30335899230231,67.314450614523
"Ireland",1958,-2.05929344931652,72.7942308145605,-0.150669148276172,70.1491638047529
"Ireland",1959,4.05111473626971,70.3366964550564,-2.05929344931652,72.7942308145605
"Ireland",1960,5.6266875707691,73.6390811340418,4.05111473626971,70.3366964550564
"Ireland",1961,4.77447019048405,73.6603885469678,5.6266875707691,73.6390811340418
"Ireland",1962,3.2583031638596,73.5131248214337,4.77447019048405,73.6603885469678
"Ireland",1963,4.73323170731708,74.4750652901391,3.2583031638596,73.5131248214337
"Ireland",1964,3.91529000800523,70.8895015357935,4.73323170731708,74.4750652901391
"Ireland",1965,1.74381959520975,73.4183639530615,3.91529000800523,70.8895015357935
"Ireland",1966,0.853524229074898,78.0546382467727,1.74381959520975,73.4183639530615
"Ireland",1967,5.93093093093093,76.9729581656609,0.853524229074898,78.0546382467727
"Ireland",1968,8.26621996005412,66.1047656159066,5.93093093093093,76.9729581656609
"Ireland",1969,6.01642466079504,63.585673342706,8.26621996005412,66.1047656159066
"Ireland",1970,2.66067920291888,62.2374887343343,6.01642466079504,63.585673342706
"Ireland",1971,3.46656460167314,59.6729463517261,2.66067920291888,62.2374887343343
"Ireland",1972,6.48945727421657,55.8825537341722,3.46656460167314,59.6729463517261
"Ireland",1973,4.72433129869485,52.0617641838727,6.48945727421657,55.8825537341722
"Ireland",1974,4.26005781168555,65.4591739873774,4.72433129869485,52.0617641838727
"Ireland",1975,5.65403145168621,72.3595163044641,4.26005781168555,65.4591739873774
"Ireland",1976,1.39808999397746,77.6392916087447,5.65403145168621,72.3595163044641
"Ireland",1977,8.20924016800306,74.1439815635722,1.39808999397746,77.6392916087447
"Ireland",1978,7.19046498863012,76.4719183367095,8.20924016800306,74.1439815635722
"Ireland",1979,3.07242136064374,82.6061853569793,7.19046498863012,76.4719183367095
"Ireland",1980,2.9,84.3512099678799,3.07242136064374,82.6061853569793
"Ireland",1981,2.5,89.752758709987,2.9,84.3512099678799
"Ireland",1982,1.5,87.2017319110256,2.5,89.752758709987
"Ireland",1983,-0.7,96.4919028905489,1.5,87.2017319110256
"Ireland",1984,3.2,101.60412646234,-0.7,96.4919028905489
"Ireland",1985,1.9,102.963176069486,3.2,101.60412646234
"Ireland",1986,0.4,109.678571315794,1.9,102.963176069486
"Ireland",1987,3.6,112.430132889981,0.4,109.678571315794
"Ireland",1988,3,108.334249118853,3.6,112.430132889981
"Ireland",1989,5.6,97.6786350906523,3,108.334249118853
"Ireland",1990,7.7,87.7093696651545,5.6,97.6786350906523
"Ireland",1991,1.6,85.5213568914452,7.7,87.7093696651545
"Ireland",1992,3.6,83.5548723955984,1.6,85.5213568914452
"Ireland",1993,2.3,83.2707730987993,3.6,83.5548723955984
"Ireland",1994,5.9,79.8014970554409,2.3,83.2707730987993
"Ireland",1995,9.6,72.9536573293796,5.9,79.8014970554409
"Ireland",1996,8.1,65.5486447104508,9.6,72.9536573293796
"Ireland",1997,11.5,58.165691493955,8.1,65.5486447104508
"Ireland",1998,8.4,48.7628763373456,11.5,58.165691493955
"Ireland",1999,10.7,43.9785064844018,8.4,48.7628763373456
"Ireland",2000,9.4,34.8296542110365,10.7,43.9785064844018
"Ireland",2001,5.7,30.9440061610583,9.4,34.8296542110365
