"Country","Year","Infl","dRGDP","debtgdp","lag.debtgdp1","lag.dRGDP1","lag.debtgdp2","lag.dRGDP2","lag.debtgdp3","lag.dRGDP3"
"Netherlands",1979,NA,2.22709726201846,22.6937478724611,20.6618880153974,2.35854820970305,19.3194660802101,2.71870456185863,18.6906530046894,4.70875594207978
"Netherlands",1980,NA,1.20583354825523,26.0700219635269,22.6937478724611,2.22709726201846,20.6618880153974,2.35854820970305,19.3194660802101,2.71870456185863
"Netherlands",1981,NA,-0.513749767944915,30.4992019177708,26.0700219635269,1.20583354825523,22.6937478724611,2.22709726201846,20.6618880153974,2.35854820970305
"Netherlands",1982,NA,-1.28309663182063,36.5552520373422,30.4992019177708,-0.513749767944915,26.0700219635269,1.20583354825523,22.6937478724611,2.22709726201846
"Netherlands",1983,NA,1.75796178343948,42.7050170161379,36.5552520373422,-1.28309663182063,30.4992019177708,-0.513749767944915,26.0700219635269,1.20583354825523
"Netherlands",1984,NA,3.11919492141439,47.8232795955757,42.7050170161379,1.75796178343948,36.5552520373422,-1.28309663182063,30.4992019177708,-0.513749767944915
"Netherlands",1985,NA,2.65633321845922,51.4384170630874,47.8232795955757,3.11919492141439,42.7050170161379,1.75796178343948,36.5552520373422,-1.28309663182063
"Netherlands",1986,NA,3.12472580922045,51.9223937829381,51.4384170630874,2.65633321845922,47.8232795955757,3.11919492141439,42.7050170161379,1.75796178343948
"Netherlands",1987,NA,1.85072837980809,54.128956826744,51.9223937829381,3.12472580922045,51.4384170630874,2.65633321845922,47.8232795955757,3.11919492141439
"Netherlands",1988,NA,2.98043431676287,56.8870867701651,54.128956826744,1.85072837980809,51.9223937829381,3.12472580922045,51.4384170630874,2.65633321845922
"Netherlands",1989,NA,4.78459449450683,57.520964360587,56.8870867701651,2.98043431676287,54.128956826744,1.85072837980809,51.9223937829381,3.12472580922045
"Netherlands",1990,NA,4.06461102453375,58.4247888619278,57.520964360587,4.78459449450683,56.8870867701651,2.98043431676287,54.128956826744,1.85072837980809
"Netherlands",1991,NA,2.40509481623794,59.2484028267725,58.4247888619278,4.06461102453375,57.520964360587,4.78459449450683,56.8870867701651,2.98043431676287
"Netherlands",1992,NA,1.48951559158974,60.6442703173317,59.2484028267725,2.40509481623794,58.4247888619278,4.06461102453375,57.520964360587,4.78459449450683
"Netherlands",1993,NA,0.651357331582281,61.227776110554,60.6442703173317,1.48951559158974,59.2484028267725,2.40509481623794,58.4247888619278,4.06461102453375
"Netherlands",1994,NA,2.86436915237676,58.048741465722,61.227776110554,0.651357331582281,60.6442703173317,1.48951559158974,59.2484028267725,2.40509481623794
"Netherlands",1995,NA,3.0331904558653,58.9331752172731,58.048741465722,2.86436915237676,61.227776110554,0.651357331582281,60.6442703173317,1.48951559158974
"Netherlands",1996,NA,3.40600448688215,57.6691529452237,58.9331752172731,3.0331904558653,58.048741465722,2.86436915237676,61.227776110554,0.651357331582281
"Netherlands",1997,NA,4.27843544400934,53.9100097300993,57.6691529452237,3.40600448688215,58.9331752172731,3.0331904558653,58.048741465722,2.86436915237676
"Netherlands",1998,NA,3.92352083372789,52.0051646508343,53.9100097300993,4.27843544400934,57.6691529452237,3.40600448688215,58.9331752172731,3.0331904558653
"Netherlands",1999,NA,4.68448579737009,49.1205174614765,52.0051646508343,3.92352083372789,53.9100097300993,4.27843544400934,57.6691529452237,3.40600448688215
"Netherlands",2000,NA,3.94093202656964,42.9945449325294,49.1205174614765,4.68448579737009,52.0051646508343,3.92352083372789,53.9100097300993,4.27843544400934
"Netherlands",2001,NA,1.92578237151881,40.247380681704,42.9945449325294,3.94093202656964,49.1205174614765,4.68448579737009,52.0051646508343,3.92352083372789
"Netherlands",2002,NA,0.0762894680628845,40.4330050256441,40.247380681704,1.92578237151881,42.9945449325294,3.94093202656964,49.1205174614765,4.68448579737009
"Netherlands",2003,NA,0.335652328925207,42.5206260679953,40.4330050256441,0.0762894680628845,40.247380681704,1.92578237151881,42.9945449325294,3.94093202656964
"Netherlands",2004,NA,2.23650836323683,43.7514251278543,42.5206260679953,0.335652328925207,40.4330050256441,0.0762894680628845,40.247380681704,1.92578237151881
"Netherlands",2005,NA,2.04650014176873,42.948382082831,43.7514251278543,2.23650836323683,42.5206260679953,0.335652328925207,40.4330050256441,0.0762894680628845
"Netherlands",2006,NA,3.39426640554628,39.1695173782339,42.948382082831,2.04650014176873,43.7514251278543,2.23650836323683,42.5206260679953,0.335652328925207
"Netherlands",2007,NA,3.61311574886765,37.9837654572823,39.1695173782339,3.39426640554628,42.948382082831,2.04650014176873,43.7514251278543,2.23650836323683
