"year","pct","ser_num","datestop","timestop","city","sex","race","age"
2012,79,445,20120106,1810,2,0,1,35
2012,77,471,20120106,1818,2,1,1,43
2012,70,1059,20120106,1819,2,1,1,37
2012,44,256,20120106,1830,3,1,3,48
2012,61,80,20120106,1830,2,1,4,23
2012,43,739,20120106,1842,3,1,1,24
2012,75,1226,20120106,1847,2,1,3,29
2012,9,90,20120106,1900,1,1,1,30
2012,120,128,20120106,1900,5,1,3,40
2012,13,149,20120106,1901,1,1,1,51
2012,73,176,20120106,1910,2,0,3,1
2012,23,279,20120106,1915,1,0,1,15
2012,23,106,20120106,1915,1,1,1,17
2012,77,450,20120106,1920,2,1,1,18
2012,78,109,20120106,1920,2,1,1,30
2012,44,249,20120106,1925,3,1,1,17
2012,61,125,20120106,1940,2,1,4,21
2012,122,311,20120106,1945,5,0,3,21
2012,44,251,20120106,1948,3,1,1,23
2012,75,514,20120106,1949,2,1,1,21
2012,120,146,20120106,1950,5,1,1,35
2012,10,29,20120106,1957,1,1,1,40
2012,44,232,20120106,2002,3,1,1,20
2012,100,155,20120106,2005,4,1,1,18
2012,10,30,20120106,2010,1,1,3,47
2012,78,40,20120106,2011,2,1,3,20
2012,83,125,20120106,2015,2,1,2,21
2012,67,266,20120106,2025,2,1,1,42
2012,44,642,20120106,2030,3,1,3,21
2012,23,56,20120106,2040,1,1,1,14
2012,43,285,20120106,2045,3,0,1,37
2012,67,314,20120106,2100,2,0,1,36
2012,78,57,20120106,2110,2,1,1,19
2012,61,96,20120106,2110,2,1,4,16
2012,9,125,20120106,2136,1,1,4,26
2012,32,214,20120106,2150,1,0,1,39
2012,123,16,20120106,2207,5,1,4,20
2012,41,149,20120106,2223,3,1,2,15
2012,114,213,20120106,2235,4,1,1,30
2012,52,624,20120106,2235,3,1,3,21
2012,61,136,20120106,2240,2,1,4,45
2012,73,162,20120106,2243,2,1,1,17
2012,46,117,20120106,2250,3,1,1,16
2012,101,159,20120106,2250,4,1,1,19
2012,32,217,20120106,2258,1,1,1,16
2012,83,486,20120106,2300,2,1,3,23
2012,40,429,20120106,2305,3,1,1,19
2012,75,406,20120106,2315,2,1,1,15
2012,108,66,20120106,2323,4,1,4,25
2012,40,675,20120106,2325,3,1,1,27
2012,78,46,20120106,2325,2,1,4,15
2012,40,997,20120106,2350,3,1,1,23
