fips	year	incum_vote	prev_incum	all_current_irelief
1131	2000	67.19000244	68.15000153	0.039845973
1131	2004	32.27999878	32.40000153	4.234429359
1133	1988	67.58807373	72.21987915	0
1133	1992	55.00999832	67.58807373	0
1133	1996	36.16999817	33.84999847	0
1133	2000	28.88999939	36.16999817	0
1133	2004	78	68.81999969	2.649482012
4001	1988	36.7643013	43.26273727	0
4001	1992	25.12999916	36.7643013	0
4001	1996	66.33000183	61.43999863	0
4001	2000	67.02999878	66.33000183	0
4001	2004	34.65000153	30.60000038	2.841831446
4003	1988	56.3814621	62.24625397	0.081230953
4003	1992	36.81000137	56.3814621	0
4003	1996	43.16999817	38.31000137	0.075684503
4003	2000	40.24000168	43.16999817	0
4003	2004	59.70000076	54.75	3.842976809
4005	1988	51.8014946	59.12561035	0
4005	1992	32.31000137	51.8014946	0
4005	1996	53.15000153	44.31999969	0.110585906
4005	2000	49.59999847	53.15000153	0
4005	2004	43.09999847	42.95999908	2.385730982
4007	1988	51.38244247	56.02334595	0
4007	1992	31.29000092	51.38244247	0
4007	1996	49.25999832	40.97000122	0.583903372
4007	2000	43.40999985	49.25999832	0
4007	2004	59.22000122	51.63999939	3.32432723
4009	1988	59.17707062	62.34553146	3.491050243
4009	1992	42.97999954	59.17707062	1.420168519
4009	1996	42.36000061	34.95999908	0.655387104
4009	2000	34.72000122	42.36000061	0
4009	2004	69.65000153	62.15999985	3.762089491
4011	1988	46.2144165	47.58256149	0.50020802
4011	1992	36.61999893	46.2144165	0.308115542
4011	1996	51.72000122	42.77999878	0.308461607
4011	2000	41.08000183	51.72000122	0
4011	2004	61.91999817	54.70000076	3.341684103
4012	1992	32.22999954	58.54661942	0
4012	1996	43.70999908	36.43999863	0
4012	2000	39.45999908	43.70999908	1.196412325
4012	2004	62.47000122	56.72999954	2.871354342
4013	1988	64.90467072	71.97648621	0.511927366
4013	1992	41.06000137	64.90467072	0.070912197
4013	1996	44.52999878	32.56000137	0.271842748
4013	2000	42.97000122	44.52999878	0.134444535
4013	2004	56.97000122	53.34000015	1.328996897
4015	1988	62.40189362	69.25653839	0
4015	1992	33.68999863	62.40189362	0.191939667
4015	1996	40.04000092	32.63000107	0
4015	2000	39.58000183	40.04000092	0
4015	2004	63.65000153	55.25	2.020517826
4017	1988	52.81801224	58.12136078	0
4017	1992	32.45000076	52.81801224	0
4017	1996	51.77999878	44.16999817	0.806681693
4017	2000	46.90000153	51.77999878	0
4017	2004	53.41999817	49.25	2.221702099
4019	1988	50.282547	56.90402985	0.22448799
4019	1992	34.47000122	50.282547	0
4019	1996	52.15999985	45.68000031	0.261736423
4019	2000	51.34000015	52.15999985	0
4019	2004	46.63999939	43.31000137	0.438134789
4021	1988	51.28855515	57.52821732	2.013438463
4021	1992	31.76000023	51.28855515	0.077013329
4021	1996	53.06999969	42.09999847	0.45551759
4021	2000	47.59000015	53.06999969	0
4021	2004	57.27000046	48.72999954	3.50782609
4023	1988	49.62630844	60.33808136	0.672338426
4023	1992	37.43000031	49.62630844	0
4023	1996	64.16999817	43.47000122	0
4023	2000	58.84000015	64.16999817	0
4023	2004	40.00999832	37.59999847	1.494871974
4025	1988	64.44012451	70.88716125	0
4025	1992	39.41999817	64.44012451	0
4025	1996	36.63999939	30.75	1.068602562
4025	2000	35.34000015	36.63999939	0
4025	2004	61.18000031	58.95999908	1.588462114
4027	1988	97.96717834	67.61388397	0
4027	1992	41.54999924	97.96717834	0
4027	1996	44.33000183	36.97000122	2.565031528
4027	2000	42.06999969	44.33000183	0.064416416
4027	2004	57.66999817	54.81999969	1.179545641
5001	1988	55.61415863	60.37451172	0
5001	1992	32.50999832	55.61415863	0
5001	1996	63	59.00999832	0
5001	2000	45.15000153	63	0
5001	2004	54.54999924	52.61999893	3.520641565
5003	1988	47.47661209	62.72104263	0
5003	1992	28.07999992	47.47661209	0
5003	1996	60.50999832	61.41999817	0
5003	2000	51.41999817	60.50999832	0
5003	2004	53.65000153	46.86000061	4.24973774
5005	1988	63.352211	70.59358215	0
5005	1992	35.84999847	63.352211	0
5005	1996	43.22999954	44.43999863	0
5005	2000	39	43.22999954	0
5005	2004	60.04999924	57.09000015	3.934153318
5007	1988	71.22544861	76.88121033	0
5007	1992	48.81000137	71.22544861	0
5007	1996	37.59000015	36.45000076	0
5007	2000	32.20999908	37.59000015	0
5007	2004	68.37000275	64.94000244	3.342412233
5009	1988	64.0402832	70.34549713	0
5009	1992	42.20999908	64.0402832	0
5009	1996	43.31999969	42.45000076	0
5009	2000	32.95000076	43.31999969	0
5009	2004	66.26999664	62.84999847	5.778269291
5011	1988	48.9341774	53.76773834	0
5011	1992	30.63999939	48.9341774	0
5011	1996	64.66999817	61.06999969	0
5011	2000	53.33000183	64.66999817	0
5011	2004	47.33000183	45.06000137	4.905594826
5013	1988	56.14334488	58.21485138	0
5013	1992	38.75	56.14334488	0
5013	1996	56.97999954	51.40999985	0
5013	2000	46.54000092	56.97999954	0
