"cname" "UN" "ldur" "lwdeaths" "lwdurat" "ethfrac" "pop" "continent"
"56" "Eritrea" 0 2.39789533615112 0 12 58.7499961853027 8.26333236694336 "ssafrica"
"57" "Eritrea" 0 3.55534815788269 0 12 58.7499961853027 8.3180103302002 "ssafrica"
"58" "Mozambique" 1 4.8903489112854 11.863582611084 156 65.4930038452148 9.59560298919678 "ssafrica"
"59" "South Africa" 0 5.18738603591919 10.2750511169434 269 87.7227096557617 10.4487142562866 "ssafrica"
"60" "Namibia" 1 5.11799383163452 10.1266307830811 269 67.6548919677734 7.25063562393188 "ssafrica"
"61" "Lesotho" 0 4.12713432312012 4.73619842529297 1 22.2482509613037 7.44366359710693 "ssafrica"
"62" "Morocco" 1 5.11799383163452 9.47270488739014 180 53.4009208679199 10.0858087539673 "nafrme"
"63" "Iran" 0 2.39789533615112 3.91202306747437 12 75.6581649780273 10.8818140029907 "nafrme"
"64" "Iran" 0 3.13549423217773 3.91202306747437 12 75.6581649780273 10.9681978225708 "nafrme"
"65" "Iran" 0 1.3862943649292 3.91202306747437 12 75.6581649780273 11.0186290740967 "nafrme"
"66" "Iran" 0 2.39789533615112 5.7990927696228 36 75.6581649780273 11.033275604248 "nafrme"
"67" "Iran" 0 3.13549423217773 5.7990927696228 36 75.6581649780273 11.0898056030273 "nafrme"
"68" "Iraq" 0 4.4188404083252 9.98252964019775 144 36.2471160888672 9.98966503143311 "nafrme"
"69" "Egypt" 0 4.07753753662109 7.13409376144409 70 4.40084934234619 11.0477104187012 "nafrme"
"70" "Lebanon" 1 5.0434250831604 11.8775682449341 189 13.4805145263672 8.21824836730957 "nafrme"
"71" "Yemen" 0 4.71849870681763 8.61250305175781 4 6 9.60238265991211 "nafrme"
"72" "Afghanistan" 0 2.39789533615112 13.2285232543945 265 65.8280944824219 10.2399597167969 "asia"
"73" "Tajikistan" 1 2.39789533615112 10.6286182403564 55 55.1569519042969 8.70250988006592 "eeurop"
"74" "Tajikistan" 1 4.07753753662109 4.60517024993896 12 55.1569519042969 8.72583198547363 "eeurop"
"75" "Uzbekistan" 0 3.55534815788269 4.09434461593628 5 48.4536094665527 10.1266307830811 "eeurop"
"76" "Pakistan" 0 3.85014748573303 7.82404613494873 24 64.4509048461914 11.6172857284546 "asia"
"77" "Pakistan" 0 4.4188404083252 7.82404613494873 24 64.4509048461914 11.7597856521606 "asia"
"78" "Bangladesh" 0 4.8751974105835 5.46806001663208 12 0.49750804901123 11.6613454818726 "asia"
"79" "Sri Lanka" 0 2.39789533615112 9.68034362792969 78 46.7041435241699 9.85219383239746 "asia"
"80" "Cambodia" 0 4.07753753662109 11.4240942001343 241 29.6923408508301 9.43348407745361 "asia"
"81" "Laos" 0 5.0434250831604 5.29831743240356 24 59.9656715393066 8.35208225250244 "asia"
"82" "Philippines" 0 0.6931471824646 11.0520801544189 24 74.5177154541016 11.154821395874 "asia"
"83" "Indonesia" 0 1.94591009616852 8.98719692230225 1 76.4058380126953 12.0895385742188 "asia"
"84" "Indonesia" 0 1.60943794250488 7.07072401046753 72 76.4058380126953 12.1062526702881 "asia"
"85" "Indonesia" 0 3.85014748573303 8.98719692230225 1 76.4058380126953 12.1388635635376 "asia"
"86" "Papua New Guinea" 0 2.39789533615112 5.52146100997925 60 44.5050315856934 8.31336212158203 "asia"
"87" "Papua New Guinea" 0 4.4188404083252 5.52146100997925 60 44.5050315856934 8.46821308135986 "asia"
