"year" "pct" "ser_num" "datestop" "timestop" "city" "sex" "race" "dob" "age"
"3791" 2012 44 53 1032012 1658 3 1 3 10151990 21
"3801" 2012 49 38 1032012 1700 3 1 3 12181970 41
"3812" 2012 102 18 1032012 1710 4 1 3 8261992 19
"3855" 2012 52 64 1032012 1733 3 1 3 9081993 18
"3858" 2012 109 36 1032012 1735 4 1 1 12311900 18
"3882" 2012 120 31 1032012 1746 5 1 3 12311900 41
"3901" 2012 52 72 1032012 1758 3 1 2 8301991 20
"3905" 2012 41 22 1032012 1800 3 1 1 9181992 19
"3925" 2012 14 28 1032012 1815 1 0 5 12311900 41
"3937" 2012 102 33 1032012 1821 4 1 3 8231979 33
"3954" 2012 75 936 1032012 1830 2 1 3 1191976 35
"3970" 2012 75 168 1032012 1845 2 1 1 4091991 20
"4015" 2012 103 84 1032012 1912 4 1 1 8241966 46
"4016" 2012 120 2995 1032012 1912 5 1 1 12311900 57
"4020" 2012 109 53 1032012 1915 4 1 5 12311900 48
"4068" 2012 79 70 1032012 1940 2 1 1 12311900 19
"4075" 2012 68 29 1032012 1945 2 1 1 3291988 20
"4079" 2012 41 34 1032012 1948 3 1 1 10161973 38
"4200" 2012 25 983 1032012 2100 1 1 1 3241984 27
"4229" 2012 101 26 1032012 2115 4 1 1 8221991 20
"4263" 2012 44 48 1032012 2130 3 1 3 7071954 57
"4336" 2012 67 261 1032012 2215 2 1 1 12311900 41
"4387" 2012 68 33 1032012 2250 2 1 4 2031994 17
"4413" 2012 123 6 1032012 2305 5 1 4 12081990 20
"4420" 2012 90 159 1032012 2310 2 1 3 10051958 53
"4422" 2012 122 10 1032012 2310 5 1 4 1301988 23
"4444" 2012 32 450 1032012 2320 1 1 1 9261989 22
"4463" 2012 30 42 1032012 2330 1 1 3 12311900 29
"4467" 2012 70 286 1032012 2337 2 1 1 6141993 18
"4470" 2012 67 265 1032012 2340 2 1 1 12311900 70
"4475" 2012 44 50 1032012 2345 3 1 3 5021975 36
"4482" 2012 107 183 1032012 2350 4 1 1 8241986 25
"4512" 2012 47 206 1042012 15 3 1 1 12311900 37
"4514" 2012 14 57 1042012 15 1 1 3 12311900 29
"4516" 2012 70 289 1042012 17 2 1 1 4271986 26
"4536" 2012 114 25 1042012 30 4 1 4 12311900 19
"4544" 2012 110 64 1042012 40 4 1 3 12311900 33
"4796" 2012 72 155 1042012 950 2 1 4 10301987 24
"4844" 2012 25 50 1042012 1053 1 1 1 12211971 40
"4860" 2012 40 730 1042012 1105 3 0 1 12311900 15
"4880" 2012 43 196 1042012 1120 3 1 3 6081989 22
"4966" 2012 113 69 1042012 1230 4 1 1 8251986 25
"4969" 2012 60 56 1042012 1230 2 1 1 12311900 17
"5005" 2012 14 44 1042012 1250 1 1 1 12311900 28
"5023" 2012 105 66 1042012 1300 4 1 1 6201993 18
"5039" 2012 103 121 1042012 1302 4 1 5 12311900 17
"5041" 2012 40 773 1042012 1305 3 1 1 12311900 36
"5146" 2012 42 239 1042012 1359 3 1 1 5151994 17
"5157" 2012 83 1083 1042012 1400 2 1 3 12311900 54
"5166" 2012 32 151 1042012 1410 1 0 1 11151987 24
"5176" 2012 103 205 1042012 1415 4 1 1 6271973 38
"5203" 2012 61 13 1042012 1430 2 1 1 3311993 18
"5207" 2012 13 9 1042012 1430 1 1 1 12311900 48
"5238" 2012 23 24 1042012 1445 1 1 3 7251971 40
"5244" 2012 71 25 1042012 1449 2 1 1 12311900 26
"5283" 2012 44 4508 1042012 1507 3 1 1 12311900 18
"5310" 2012 34 26 1042012 1515 1 1 3 4091980 32
"5335" 2012 13 13 1042012 1530 1 1 1 6101989 22
"5338" 2012 73 100 1042012 1530 2 1 1 9231976 35
"5382" 2012 18 5 1042012 1549 1 1 2 12311900 14
"5407" 2012 109 63 1042012 1600 4 1 3 12311900 21
"5415" 2012 41 74 1042012 1605 3 0 2 8301999 14
"5426" 2012 77 51 1042012 1609 2 1 1 12311900 29
"5438" 2012 100 57 1042012 1615 4 1 1 6211994 17
"5504" 2012 19 26 1042012 1643 1 1 4 3181964 47
"5505" 2012 67 79 1042012 1645 2 0 1 2021986 24
"5571" 2012 45 72 1042012 1715 3 1 1 12311900 20
"5582" 2012 70 52 1042012 1720 2 1 1 12311900 27
"5604" 2012 79 132 1042012 1730 2 1 1 12311900 48
"5648" 2012 23 332 1042012 1755 1 1 1 8011982 29
"5656" 2012 81 82 1042012 1758 2 1 1 12311900 27
"5694" 2012 113 599 1042012 1815 4 1 2 7251959 52
"5698" 2012 70 56 1042012 1820 2 1 1 12311900 30
"5727" 2012 45 73 1042012 1835 3 1 3 12311900 30
"5814" 2012 105 114 1042012 1922 4 1 2 3191981 30
"5856" 2012 120 54 1042012 1940 5 1 1 12311900 34
"5869" 2012 66 47 1042012 1950 2 1 5 12311900 48
"5884" 2012 114 91 1042012 1956 4 1 1 7171983 28
"5891" 2012 43 67 1042012 1957 3 1 3 12311900 19
"6034" 2012 62 100 1042012 2050 2 1 4 12311900 170
"6044" 2012 40 470 1042012 2057 3 1 2 12311900 48
"6087" 2012 112 12 1042012 2120 4 1 4 3051970 41
"6105" 2012 43 71 1042012 2130 3 1 1 8071985 26
"6131" 2012 94 13 1042012 2145 2 1 1 6011984 27
"6179" 2012 113 37 1042012 2210 4 1 1 10181965 46
"6215" 2012 26 31 1042012 2230 1 1 1 12311900 20
"6219" 2012 78 445 1042012 2230 2 1 3 6141971 40
"6235" 2012 103 672 1042012 2245 4 0 1 12271983 28
"6256" 2012 88 38 1042012 2300 2 1 1 12311900 49
"6282" 2012 7 32 1042012 2310 1 1 1 6121982 29
"6328" 2012 120 770 1042012 2340 5 1 1 10091979 32
"6355" 2012 70 292 1052012 2 2 1 2 12051973 38
"6387" 2012 109 136 1052012 25 4 1 1 12311900 22
"6388" 2012 109 134 1052012 25 4 1 1 12311900 22
"6403" 2012 40 214 1052012 30 3 1 3 5231966 46
"6421" 2012 24 183 1052012 45 1 1 4 12311900 47
"6449" 2012 34 164 1052012 105 1 1 2 3281994 17
"6486" 2012 47 95 1052012 120 3 1 1 10141956 55
"6528" 2012 110 66 1052012 150 4 1 4 12311900 27
"6576" 2012 61 50 1052012 300 2 1 1 12121990 21
"6585" 2012 110 56 1052012 315 4 1 3 12311900 24
"6627" 2012 109 84 1052012 427 4 1 5 12311900 35
"6639" 2012 44 108 1052012 500 3 1 1 12311900 18
"6676" 2012 45 80 1052012 750 3 1 3 12311900 15
"6684" 2012 33 34 1052012 815 1 0 2 12091971 40
"6773" 2012 113 105 1052012 1020 4 1 1 9111970 41
"6814" 2012 33 248 1052012 1047 1 1 3 11241993 17
"6891" 2012 33 136 1052012 1120 1 1 3 12311900 25
"6962" 2012 75 283 1052012 1208 2 1 1 12311900 18
"6990" 2012 90 401 1052012 1222 2 1 3 1051974 37
"7020" 2012 1 17 1052012 1237 1 1 1 12241960 51
"7025" 2012 108 99 1052012 1240 4 1 2 12311900 30
"7054" 2012 79 200 1052012 1252 2 1 1 12311900 72
