"isolate" "year" "partyid" "age" "attend" "south" "income" "female" "minority"
"3915" -1 1956 1 40 1 1 4 0 0
"3916" 0 1956 2 48 4 1 4 1 0
"3917" -1 1956 2 41 4 0 5 1 0
"3918" -1 1956 3 34 2 0 4 0 0
"3919" 1 1956 4 60 4 0 4 1 0
"3920" 0 1956 1 42 2 0 1 1 0
"3921" 1 1956 2 56 5 0 3 0 0
"3922" -1 1956 4 76 2 0 1 1 0
"3923" -1 1956 2 34 4 0 2 0 1
"3924" -1 1956 2 30 4 0 2 0 0
"3925" 1 1956 2 40 1 1 1 1 1
"3926" 1 1956 1 46 4 0 2 0 0
"3927" 0 1956 2 39 4 0 3 1 0
"3928" -1 1956 3 40 1 0 4 0 0
"3929" -1 1956 4 25 1 0 4 0 0
"3930" -1 1956 2 82 2 0 3 0 0
"3931" 0 1956 1 66 4 1 1 0 0
"3932" 1 1956 2 25 1 0 3 1 0
"3933" 1 1956 1 76 2 1 2 1 0
"3934" -1 1956 1 67 4 0 2 1 0
"3936" -1 1956 2 42 1 0 4 1 0
"3937" 0 1956 1 46 4 0 2 0 0
"3938" -1 1956 2 27 5 0 3 0 0
"3939" 0 1956 1 25 1 0 2 1 0
"3940" 0 1956 2 52 4 1 5 0 0
"3941" 1 1956 2 30 1 1 3 1 0
"3942" 0 1956 2 34 1 1 3 1 1
"3943" 0 1956 4 28 4 0 2 1 1
"3944" -1 1956 1 39 4 0 4 0 0
"3945" -1 1956 4 39 1 0 4 0 0
"3946" 1 1956 3 41 2 0 2 1 0
"3947" 1 1956 1 39 4 0 2 0 0
"3948" -1 1956 4 61 1 0 4 0 0
"3949" -1 1956 1 28 5 1 3 0 0
"3950" 1 1956 1 70 4 0 1 1 0
"3951" -1 1956 2 30 2 1 4 1 0
"3952" -1 1956 3 27 4 1 3 1 0
"3953" 0 1956 1 62 1 1 3 0 0
"3954" -1 1956 4 45 5 0 3 0 0
"3955" -1 1956 1 67 1 0 2 1 0
"3956" 0 1956 1 39 1 0 2 1 1
"3957" -1 1956 2 64 4 1 4 1 0
"3958" -1 1956 2 47 4 0 1 1 0
"3959" 0 1956 1 29 4 0 3 1 1
"3960" -1 1956 1 24 2 0 3 0 0
"3961" 1 1956 1 54 5 0 4 1 0
"3962" -1 1956 1 25 1 1 2 0 0
"3963" -1 1956 4 48 1 0 4 0 0
"3964" -1 1956 2 36 4 0 2 0 0
"3965" -1 1956 2 31 2 1 3 0 0
"3966" 0 1956 4 37 4 0 4 1 0
"3967" -1 1956 3 40 1 1 3 0 0
"3968" -1 1956 2 52 1 0 3 1 0
"3969" -1 1956 2 30 1 1 4 1 0
"3970" -1 1956 3 49 4 0 3 0 0
"3971" -1 1956 3 32 4 0 5 0 0
"3972" 0 1956 2 40 2 0 2 1 1
"3973" -1 1956 4 28 5 0 2 1 0
"3974" -1 1956 2 30 1 0 4 1 0
"3975" 0 1956 4 78 4 0 1 1 0
"3976" 1 1956 1 65 4 0 1 1 0
"3977" -1 1956 1 33 1 0 3 0 0
"3978" 1 1956 2 29 1 1 3 1 0
"3980" 1 1956 1 53 4 0 2 0 0
"3982" 0 1956 4 44 4 1 2 1 0
"3983" 1 1956 2 39 1 1 1 0 0
"3984" -1 1956 1 32 4 0 4 0 0
"3985" -1 1956 1 32 1 1 2 1 0
"3986" -1 1956 3 40 1 0 3 1 0
"3988" -1 1956 4 24 2 1 3 1 0
"3990" 1 1956 3 62 4 0 1 1 0
"3991" -1 1956 4 54 4 0 3 1 0
"3992" 0 1956 2 77 5 0 1 1 0
"3993" -1 1956 4 45 2 0 4 1 0
"3994" 0 1956 1 22 1 1 3 1 0
"3995" -1 1956 1 37 4 0 4 0 0
"3996" 0 1956 1 31 1 0 3 1 0
"3997" -1 1956 1 60 4 1 2 1 0
"3998" -1 1956 2 38 1 1 4 0 0
"3999" -1 1956 1 21 4 0 2 1 0
"4000" -1 1956 2 33 1 1 3 0 0
"4001" -1 1956 1 36 4 0 3 0 0
"4002" -1 1956 3 25 1 0 3 1 0
"4004" -1 1956 2 37 2 0 2 0 0
"4005" -1 1956 2 44 1 1 2 1 0
"4006" -1 1956 2 43 1 0 3 0 0
"4007" 1 1956 3 44 1 0 3 0 0
"4008" -1 1956 2 50 1 1 4 1 0
"4009" 1 1956 1 30 1 1 1 1 0
"4010" 0 1956 1 29 1 0 4 0 0
"4011" -1 1956 1 38 4 0 4 1 0
"4012" 1 1956 2 40 4 0 2 1 0
"4013" -1 1956 1 44 2 1 1 0 1
"4014" 0 1956 2 29 1 0 1 1 0
"4015" -1 1956 1 24 1 0 3 0 0
"4016" 1 1956 1 68 5 1 1 0 0
"4017" -1 1956 1 37 4 0 4 0 0
"4018" 0 1956 2 75 1 0 1 1 0
"4019" 1 1956 3 26 1 0 4 1 1
"4020" 1 1956 3 49 4 0 3 0 0
"4021" -1 1956 1 44 1 1 4 1 0
"4022" 0 1956 2 46 4 0 1 1 1
"4023" -1 1956 1 32 1 1 3 1 0
"4024" 0 1956 1 29 4 0 1 0 0
"4025" -1 1956 2 28 4 1 2 1 0
"4026" 1 1956 2 32 4 0 4 1 0
"4027" 0 1956 4 50 4 0 4 1 0
"4028" 0 1956 1 48 1 1 2 1 1
"4029" -1 1956 4 23 2 1 3 0 0
"4030" 0 1956 2 30 1 1 1 1 1
"4031" -1 1956 1 27 1 0 3 0 0
"4032" -1 1956 2 34 1 1 3 1 0
"4033" 0 1956 2 55 2 0 3 0 1
"4034" -1 1956 2 56 1 0 4 0 0
"4035" -1 1956 2 38 4 0 3 1 0
"4036" 0 1956 4 35 2 0 1 0 0
"4037" -1 1956 2 63 1 1 3 1 0
"4038" -1 1956 2 36 2 1 4 0 0
"4039" -1 1956 4 59 2 0 1 1 1
"4040" 0 1956 1 45 4 0 3 0 0
"4041" -1 1956 2 42 1 0 3 0 0
"4042" -1 1956 3 62 4 0 4 0 0
"4043" 1 1956 2 70 1 1 1 0 0
"4044" -1 1956 2 28 1 0 2 0 0
"4045" -1 1956 2 28 1 0 3 1 0
"4046" -1 1956 2 40 1 0 3 0 0
"4047" -1 1956 1 62 4 0 3 0 0
"4048" -1 1956 1 33 1 0 3 0 0
"4049" -1 1956 2 33 2 0 4 1 0
"4050" 1 1956 1 42 1 0 4 1 0
"4051" -1 1956 1 51 4 1 3 0 0
"4052" 1 1956 1 49 1 0 2 1 0
"4053" -1 1956 3 44 1 0 5 0 0
"4054" 1 1956 1 41 4 0 4 1 0
"4055" 1 1956 2 50 4 1 1 1 0
"4056" -1 1956 1 52 4 0 3 1 0
"4057" -1 1956 1 32 2 0 2 0 1
"4058" -1 1956 3 21 2 1 1 0 0
"4059" -1 1956 4 33 1 0 2 1 0
"4060" -1 1956 2 49 1 0 5 0 0
"4061" 1 1956 2 38 1 0 4 1 0
"4062" -1 1956 3 36 1 1 4 1 0
"4063" -1 1956 2 61 2 1 3 0 0
"4065" 0 1956 2 36 1 0 2 1 1
"4066" 0 1956 1 38 4 1 1 1 0
"4067" -1 1956 1 42 4 0 4 0 0
"4068" 0 1956 1 53 4 0 1 1 1
"4069" -1 1956 2 37 2 1 4 1 0
"4070" -1 1956 1 46 4 0 2 1 0
"4071" 1 1956 1 37 2 0 3 1 0
"4072" -1 1956 2 36 2 0 3 1 0
"4073" -1 1956 4 24 4 0 2 1 0
"4074" 1 1956 4 39 1 0 3 1 0
"4075" -1 1956 1 80 1 0 1 0 0
"4076" -1 1956 3 31 1 0 3 0 0
"4077" -1 1956 1 29 1 0 2 0 0
"4078" -1 1956 2 58 1 1 3 1 0
"4079" -1 1956 2 50 4 0 5 0 0
"4080" -1 1956 3 38 1 0 4 1 0
"4081" 1 1956 2 35 1 1 4 1 0
"4082" -1 1956 1 50 1 0 4 0 0
"4083" -1 1956 4 59 1 0 3 1 0
"4084" 0 1956 2 26 1 0 4 0 0
"4085" -1 1956 1 72 2 0 3 0 0
"4086" 0 1956 1 45 1 0 4 1 0
"4087" -1 1956 4 60 4 0 1 0 0
"4088" -1 1956 1 18 4 1 5 0 0
"4089" 1 1956 3 54 4 0 4 0 0
"4090" -1 1956 4 49 4 0 4 0 0
"4091" 1 1956 2 54 4 0 1 0 0
"4092" -1 1956 2 40 2 0 3 1 0
"4093" 1 1956 4 29 4 0 4 0 0
"4094" -1 1956 1 29 1 1 2 1 1
"4095" 1 1956 1 56 2 0 4 1 0
"4096" 1 1956 1 35 1 1 1 1 1
"4097" -1 1956 1 32 1 0 3 0 0
"4098" 0 1956 1 34 4 0 3 1 0
"4099" -1 1956 1 28 4 1 2 0 1
"4100" -1 1956 2 51 1 1 2 0 0
"4101" -1 1956 2 31 4 0 2 1 0
"4102" 1 1956 2 40 4 1 2 1 0
"4103" -1 1956 3 45 4 0 4 0 0
"4106" 0 1956 1 60 4 1 1 0 0
"4107" -1 1956 1 53 1 0 3 1 0
"4109" 1 1956 2 46 1 1 2 1 1
"4110" -1 1956 2 39 4 1 2 1 0
"4111" -1 1956 1 34 1 0 3 1 1
"4112" 1 1956 2 35 4 1 4 0 0
"4113" -1 1956 2 39 2 1 4 1 0
"4114" -1 1956 1 70 2 0 2 0 0
"4115" -1 1956 2 27 1 0 3 1 0
"4116" 1 1956 1 37 4 1 2 0 0
"4117" 1 1956 2 50 1 1 2 0 0
"4118" 1 1956 3 31 1 1 3 1 1
"4119" -1 1956 2 23 4 0 3 0 0
"4120" 1 1956 3 40 4 0 2 1 0
"4121" -1 1956 1 34 4 0 4 1 0
"4122" -1 1956 1 56 4 1 5 1 0
"4123" 0 1956 1 75 2 0 1 1 0
"4124" 1 1956 4 55 5 0 3 0 0
"4125" -1 1956 2 56 2 0 4 0 0
"4126" 1 1956 2 72 1 1 1 0 0
"4127" 1 1956 3 43 1 0 3 0 1
"4128" -1 1956 1 50 4 0 3 1 0
"4129" -1 1956 1 33 1 1 2 1 0
"4130" -1 1956 1 39 5 0 3 1 0
